DPT,A16,A17,A18,A19,A20,A21,A22
Amazonas,34.0,32.7,49.3,49.3,49.3,0.0,0.0
Ancash,26.0,32.5,57.5,55.8,33.3,69.0,1.4
Apurímac,229.0,369.6,369.6,369.6,369.6,0.0,0.0
Arequipa,804.0,168.0,18.9,19.5,19.5,32.5,0.0
Ayacucho,74.0,33.0,33.0,33.0,33.0,0.0,0.0
Cajamarca,166.0,121.7,121.2,135.0,142.0,173.1,244.4
Callao,89.0,0.0,0.0,0.0,0.0,0.0,0.0
Cusco,230.0,277.2,383.2,367.2,361.4,413.3,377.9
Huancavelica,103.0,112.9,83.2,91.3,91.0,141.7,243.6
Huanuco,41.0,76.4,48.2,52.5,63.3,220.8,144.6
Junin,140.0,163.3,187.3,170.0,170.6,218.3,79.9
La Libertad,2 317.0,2 299.3,2 316.3,2 299.3,2 315.3,2 315.3,6.0
Lima,193 291.0,155 289.0,144 337.7,162 931.1,168 832.1,159 065.1,140 273.6
Loreto,6.0,6.2,6.2,6.2,6.2,0.0,0.0
Moguegua,1.0,1.1,1.0,1.1,0.9,1.1,2.9
Pasco,179.0,264.9,340.6,471.6,471.6,548.9,276.0
Puno,562.0,492.6,484.6,491.3,547.1,657.0,357.4
San Martin,443.0,445.7,453.7,444.2,437.9,347.1,495.6
Ucayali,40.0,38.1,67.6,66.1,66.5,17.9,0.0
