DPT,A16,A17,A18,A19,A20,A21,A22
Amazonas,34,32.7,49.3,49.3,49.3,0,0
Ancash,26,32.5,57.5,55.8,33.3,69,1.4
Apurímac,229,369.6,369.6,369.6,369.6,0,0
Arequipa,804,168,18.9,19.5,19.5,32.5,0
Ayacucho,74,33,33,33,33,0,0
Cajamarca,166,121.7,121.2,135,142,173.1,244.4
Callao,89,0,0,0,0,0,0
Cusco,230,277.2,383.2,367.2,361.4,413.3,377.9
Huancavelica,103,112.9,83.2,91.3,91,141.7,243.6
Huanuco,41,76.4,48.2,52.5,63.3,220.8,144.6
Junin,140,163.3,187.3,170,170.6,218.3,79.9
La Libertad,2317,2299.3,2316.3,2299.3,2315.3,2315.3,6
Lima,193291.0,155289.0,144337.7,162931.1,168832.1,159065.1,140273.6
Loreto,6,6.2,6.2,6.2,6.2,0,0
Moguegua,1,1,1,1.1,0.9,1.1,2.9
Pasco,179,264.9,340.6,471.6,471.6,548.9,276
Puno,562,492.6,484.6,491.3,547.1,657,357.4
San Martin,443,445.7,453.7,444.2,437.9,347.1,495.6
Ucayali,40,38.1,67.6,66.1,66.5,17.9,0
