DPT;A16;A17;A18;A19;A20;A21;NULL
Amazonas ;34,0;32,7;49,3;49,3;49,3;NULL;NULL
Áncash;26,0;32,5;57,5;55,8;33,3;69,0;NULL
Apurímac ;229,0;369,6;369,6;369,6;369,6;NULL;NULL
Arequipa;804,0;168,0;18,9;19,5;19,5;32,5;NULL
Ayacucho ;74,0;33,0;33,0;33,0;33,0;NULL;NULL
Cajamarca ;166,0;121,7;121,2;135,0;142,0;173,1;NULL
Callao ;89,0;NULL;NULL;NULL;NULL;NULL;NULL
Cusco ;230,0;277,2;383,2;367,2;361,4;413,3;NULL
Huancavelica ;103,0;112,9;83,2;91,3;91,0;141,7;NULL
Huánuco;41,0;76,4;48,2;52,5;63,3;220,8;NULL
Junín;140,0;163,3;187,3;170,0;170,6;218,3;NULL
La Libertad ;2 317,0;2 299,3;2 316,3;2 299,3;2 315,3;2 315,3;NULL
Lima ;193 291,0;155 289,0;144 337,7;162 931,1;168 832,1;159 065,1;NULL
Loreto;6,0;6,2;6,2;6,2;6,2;NULL;NULL
Moguegua ;1,0;1,1;1,0;1,1;0,9;1,1;NULL
Pasco;179,0;264,9;340,6;471,6;471,6;548,9;NULL
Puno;562,0;492,6;484,6;491,3;547,1;657,0;NULL
San Martin ;443,0;445,7;453,7;444,2;437,9;347,1;NULL
Ucayali;40,0;38,1;67,6;66,1;66,5;17,9;NULL
